move_number,ai_wins,best_utc,node_sim_count,rollout_count,node_count
1,24,0.2960519966606204,87,255,26661
3,15,0.43632067706689787,37,251,27643
5,20,0.8065087582740664,26,283,29458
7,28,0.9679038219296443,30,271,34692
9,56,0.9904682987316565,58,282,33566
11,18,0.9906173585774567,19,258,25851
13,29,0.9696234611465645,31,283,33012
15,17,0.989477893641063,18,300,34320
17,78,0.5900316716903206,136,326,37405
19,97,0.9514436896811874,104,303,35314
21,28,0.9684223739718918,30,321,38023
23,72,0.9953086353954854,74,320,28838
25,16,0.321968143694976,54,260,40768
27,57,0.9909610955903713,59,298,42542
29,38,0.9802444115866881,40,304,51945
31,5,0.6194072797749841,9,309,47592
33,17,0.389643321290753,47,309,48351
35,17,0.434393423072245,42,318,49506
37,0,0.084539193722442,5,266,48177
39,7,0.18827389771523656,44,349,35219
41,255,0.8052655329782661,321,376,41933
43,79,0.26509734190043277,311,389,48350
45,0,0.11062558881781803,3,310,55879
47,1,0.10525616599712481,17,307,60245
49,13,0.19076262736124508,77,326,61932
51,41,0.7449755800977138,57,355,58972
53,18,0.3304406284974503,59,375,56706
55,100,0.5895912707492889,174,411,60958
57,0,0.13611712804372275,2,327,66066
59,37,0.19139802091749225,208,378,57066
61,1,0.17639795948449422,9,401,68951
63,25,0.19518189884260703,140,418,72834
65,0,0.134941284467864,2,296,84865
67,0,0.13597237746804497,2,323,63163
69,536613,1.0001562924882514,536742,536861,15135
