best_utc,node_sim_count,rollout_count,node_count
0.37178218862641066,42,183,18969
0.908235531796144,63,193,20465
0.9922136712855623,72,192,21928
1.0270285172136338,139,183,25212
1.0312758558912132,165,175,23817
1.0302302537823516,177,177,24765
1.0303691160495199,175,175,28387
1.0303691160495199,175,175,28521
1.0307989601416474,169,169,26925
1.0298922248124338,182,182,25669
1.0302302537823516,177,177,31122
1.0328408055807514,144,144,34087
1.0309468645097073,167,167,35765
1.0307258945361402,170,170,30822
1.024470350073336,180,180,32504
1.0302994172653368,176,176,33792
1.0311732790779635,164,164,33005
1.0311732790779635,164,164,35947
0.9947883735774867,165,168,37567
1.0310217197897167,166,166,37185
1.0312500006159717,163,163,33421
1.0315633790188956,159,159,46537
1.029439615736491,189,189,36411
1.029130046792578,194,194,36391
1.0298922248124338,182,182,40349
1.0273773789710439,226,226,38184
1.0277823677427829,218,218,41815
1.0252340417638501,160,160,53221
1.0296307548335892,186,186,42361
1.0285992943904358,203,203,51298
1.0259757914574392,257,257,49926
1.026017331598678,256,256,52326
1.0273773789710439,226,226,53991
1.027679239087636,220,220,45268
0.9993905623369786,576,31247,15586
